id;name;category_id
1;Жим штанги узким хватом, лежа на скамье;1
2;"Тяга штанги лежа ""Pull-Over""";1
3;Жим штанги, лежа на скамье с уклоном;1
4;Отжимания от пола;1
5;Отжимания на брусьях;1
6;Жим гантелей лежа;1
7;Разведение гантелей лежа;1
8;Жим гантелей, лежа на наклонной скамье;1
9;Разведение гантелей, лежа на наклонной скамье;1
10;Сведение рук на тренажере;1
11;Жим штанги, лежа на наклонной скамье;1
12;"Сведение верхних блоков ""CROSS-OVER""";1
13;Жим штанги, лежа на горизонтальной скамье;1
14;"Тяга гантелей из-за головы лежа ""Pull-Over""";1
15;Жим гантелей сидя;2
16;Подъемы штанги вперед;2
17;Подъем гантелей в стороны в наклоне вперед;2
18;Подъемы рук в стороны на тренажере;2
19;Подъемы гантелей в стороны;2
20;Махи руками назад с рукоятками тренажера;2
21;Подъемы гантелей вперед попеременно;2
22;Подъем одной руки в сторону с нижнего блока;2
23;Подъем одной руки вперед с нижнего блока стоя;2
24;Жим штанги из-за головы сидя;2
25;Жим штанги с груди сидя;2
26;Подъемы рук вперед с одной гантелью;2
27;Попеременные сгибания рук с гантелями;3
28;Концентрированные сгибания одной руки с гантелью;3
29;"Сгибание рук с гантелями хватом ""молоток""";3
30;Сгибание рук со штангой;3
31;Сгибание рук на тренажере Скотта;3
32;Сгибание рук с рукоятками верхних блоков;3
33;Разгибание рук с рукояткой верхнего блока хватом снизу;4
34;Разгибание одной руки с верхним блоком хватом снизу;4
35;Французский жим лежа;4
36;Разгибание рук с гантелями лежа;4
37;Разгибание одной руки с гантелью из-за головы;4
38;Разгибание рук с одной гантелью из-за головы;4
39;Французский жим стоя/сидя;4
40;Разгибание одной руки назад с гантелью в наклоне;4
41;Отжимание трицепсами спиной к скамье;4
42;Разгибание рук с рукояткой верхнего блока хватом сверху;4
43;Сгибание запястий со штангой хватом снизу;5
44;Разгибание запястий со штангой хватом сверху;5
45;Шраги со штангой;6
46;Шраги с гантелями;6
47;Шраги на тренажере;6
48;Тяги верхнего блока перед собой;7
49;Тяги верхнего блока за шею;7
50;Тяги верхнего блока узким хватом;7
51;Тяги верхнего блока прямыми руками;7
52;Тяги нижнего блока (гребля);7
53;Тяги гантели одной рукой;7
54;Тяги штанги, стоя в наклоне;7
55;Тяги Т-образного грифа (гребля);7
56;Тяги Т-образного грифа (гребля) с упором;7
57;Подтягивания на перекладине хватом снизу;7
58;"""Мертвые"" тяги со штангой, ноги прямые";8
59;"""Мертвые"" тяги в стиле сумо";8
60;Становые тяги со штангой;8
61;Разгибание туловища на тренажере;8
62;Подъемы туловища на наклонной скамье;9
63;Подъемы туловища на вертикальной скамье;9
64;Скручивания туловища с верхним блоком;9
65;Скручивания туловища на тренажере;9
66;Подъем ног на наклонной скамье;9
67;Подъемы коленей в упоре;9
68;Подъемы коленей в висе;9
69;Скручивания туловища на полу;9
70;Развороты туловища с грифом;9
71;Подъемы туловища;9
72;Боковые наклоны туловища стоя;9
73;Подъемы туловища у гимнастической стенки;9
74;Боковые подъемы туловища на римском стуле;9
75;Скручивания туловища с голенью на скамье;9
76;Махи ногой назад на полу;10
77;Махи ногой в сторону с нижнего блока;10
78;Махи ногой в сторону с рычагом тренажера;10
79;Махи ногой в сторону, лежа на боку;10
80;Разведение ног на тренажере;10
81;Выпады со штангой на плечах;10
82;Выпады с гантелями;10
83;Махи ногой назад с нижнего блока;10
84;Махи ногой назад с рычагом тренажера;10
85;Приседания с гантелями;11
86;Приседания со штангой на груди;11
87;Приседания со штангой на плечах;11
88;Наклонный жим ногами;11
89;Разгибание ног;11
90;Сгибание ног лежа;12
91;Сгибание одной ноги стоя;12
92;Сгибание ног сидя;12
93;"Подъемы торса ""с добрым утром""";12
94;Подъемы на носки стоя;13
95;Подъем на носок одной ноги стоя;13
96;"Подъемы на носки в наклоне ""Ослик""";13
97;Разгибание голени сидя;13
98;Разгибание голени сидя, со штангой на коленях;13
